sector,mode,symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl,hold_days,exit_reason
半導體,regime,2454.TW,2019-10-31,2020-01-14,284.1888427734375,289.7611389160156,1.9607723118885774,557.9172217469895,75,賣出信號
半導體,regime,6415.TW,2020-01-02,2020-02-04,245.90838623046875,297.4891357421875,20.975595953598976,8678.161744890276,33,停利
半導體,regime,2379.TW,2020-01-17,2020-02-24,197.63015747070312,180.28094482421875,-8.778626131012539,-4382.8410019334115,38,停損
半導體,regime,2303.TW,2019-11-01,2020-03-12,10.419327735900879,10.311541557312012,-1.0344830426772995,-626.0498587776383,132,賣出信號
半導體,regime,2379.TW,2020-03-13,2020-03-16,151.99417114257812,141.05665588378906,-7.196009673640134,-3773.874722555338,3,賣出信號
半導體,regime,2344.TW,2020-03-13,2020-03-16,12.297555923461914,11.302902221679688,-8.088222635235793,-3995.8403329962093,3,停損
半導體,regime,2454.TW,2020-03-13,2020-03-18,237.52056884765625,210.0072021484375,-11.583572249216697,-6212.233971231399,5,停損
半導體,regime,3034.TW,2020-03-23,2020-04-06,97.39344787597656,117.37972259521484,20.521169704033213,9055.649721882764,14,停利
半導體,regime,3711.TW,2020-03-20,2020-04-15,40.7557258605957,49.25276565551758,20.84870190752058,9689.615977257883,26,停利
半導體,regime,2330.TW,2020-03-19,2020-04-17,221.1373748779297,273.30084228515625,23.588716035008275,11579.808612602828,29,停利
半導體,regime,6415.TW,2020-05-14,2020-06-03,328.6775207519531,405.4488830566406,23.35765528748327,10654.405240440487,20,停利
半導體,regime,2454.TW,2020-04-30,2020-06-10,289.0646057128906,348.2705993652344,20.4819242765229,9799.485764208184,41,停利
半導體,regime,3034.TW,2020-06-22,2020-07-06,142.12466430664062,178.6075439453125,25.6696329357432,11448.52853653115,14,停利
半導體,regime,2454.TW,2020-06-19,2020-07-08,380.3115539550781,468.82928466796875,23.27505693485879,10901.386136223773,19,停利
半導體,regime,2303.TW,2020-04-23,2020-07-23,11.353474617004395,14.527775764465332,27.95885184529064,14193.11504878325,91,停利
半導體,regime,3711.TW,2020-05-29,2020-07-28,46.47054672241211,53.162906646728516,14.40129371468912,6139.966176817194,60,賣出信號
半導體,regime,2303.TW,2020-07-23,2020-08-03,14.527775764465332,17.961612701416016,23.63635695251977,11559.352493802064,11,停利
半導體,regime,2379.TW,2020-08-06,2020-08-07,322.46905517578125,302.10260009765625,-6.315785887431287,-3492.537798427569,1,賣出信號
半導體,regime,6415.TW,2020-08-05,2020-08-18,445.7496032714844,374.670654296875,-15.94593656459603,-8805.493240854172,13,停損
半導體,regime,3034.TW,2020-07-06,2020-08-27,178.6075439453125,163.36029052734375,-8.536735392675954,-4216.741792777058,52,停損
半導體,regime,2303.TW,2020-09-15,2020-10-08,19.093645095825195,24.301006317138672,27.27274543534938,14610.196134055288,23,停利
半導體,regime,2303.TW,2020-10-08,2020-10-30,24.301006317138672,23.16897201538086,-4.658384459409927,-2773.7316743564734,22,賣出信號
半導體,regime,6415.TW,2020-11-05,2020-11-09,513.2144775390625,543.3326416015625,5.8685336015696485,2652.1097789579508,4,賣出信號
半導體,regime,3711.TW,2020-10-05,2020-11-18,46.8316535949707,56.50761032104492,20.661146859681523,10440.026944042591,44,停利
半導體,regime,2454.TW,2020-11-18,2020-11-30,516.3505859375,499.328125,-3.2966866700835755,-2077.1741469359986,12,賣出信號
半導體,regime,2344.TW,2020-10-22,2020-12-01,14.437543869018555,18.172176361083984,25.86750576100106,12697.081749637626,40,停利
半導體,regime,2303.TW,2020-11-30,2020-12-07,30.564926147460938,37.7344856262207,23.456819244941475,12205.97321003551,7,停利
半導體,regime,2344.TW,2020-12-01,2020-12-07,18.172176361083984,23.728580474853516,30.576437314732775,16148.211260129072,6,停利
半導體,regime,2303.TW,2020-12-07,2020-12-15,37.7344856262207,33.20634078979492,-12.000017388018382,-7292.169527934304,8,停損
半導體,regime,2344.TW,2020-12-07,2020-12-15,23.728580474853516,21.54245376586914,-9.213053057687686,-5393.358283218557,8,停損
半導體,regime,6415.TW,2020-12-16,2020-12-23,618.0258178710938,567.42724609375,-8.187129131860551,-5027.904320124384,7,停損
半導體,regime,6415.TW,2021-01-13,2021-01-20,687.900146484375,626.4589233398438,-8.931706652271636,-4422.029121723506,7,停損
半導體,regime,2379.TW,2021-01-11,2021-01-29,335.1498718261719,350.6840515136719,4.634994965940767,2083.578101400606,18,賣出信號
半導體,regime,3034.TW,2021-01-06,2021-02-05,252.94493103027344,315.5224914550781,24.739598524437383,13778.60399070842,30,停利
半導體,regime,3711.TW,2021-01-06,2021-02-17,68.50580596923828,89.79291534423828,31.073438336830495,16521.189763989496,42,停利
半導體,regime,2303.TW,2021-01-19,2021-03-04,39.99855041503906,37.01752471923828,-7.4528343274158875,-3548.0262410402865,44,賣出信號
半導體,regime,2344.TW,2021-02-18,2021-03-04,28.69291114807129,25.73253059387207,-10.317463219127603,-5865.106796206921,14,停損
半導體,regime,2454.TW,2021-01-13,2021-03-08,626.9971313476562,614.9395141601562,-1.923073740637948,-1227.765840282489,54,賣出信號
半導體,regime,2344.TW,2021-04-09,2021-04-13,31.243392944335938,31.01566505432129,-0.7288833527791765,-762.3983613021337,4,賣出信號
半導體,regime,3711.TW,2021-04-26,2021-05-05,91.34107208251953,82.43919372558594,-9.745756376596326,-5680.862599775872,9,停損
半導體,regime,2303.TW,2021-04-13,2021-05-10,41.055118560791016,39.62120819091797,-3.4926470075828213,-2361.393204574786,27,賣出信號
半導體,regime,2344.TW,2021-07-13,2021-07-16,34.856361389160156,32.062355041503906,-8.015771687876597,-4944.654203931052,3,停損
半導體,regime,2379.TW,2021-07-27,2021-08-11,476.12255859375,437.28704833984375,-8.15662050725106,-5004.081961739204,15,停損
半導體,regime,3711.TW,2021-07-30,2021-09-17,94.82442474365234,94.42095947265625,-0.42548665292388416,-550.7328585009818,49,賣出信號
半導體,regime,2379.TW,2021-10-05,2021-12-06,373.8626403808594,459.9546813964844,23.027719733622426,12779.826501236414,62,停利
半導體,regime,2330.TW,2022-01-03,2022-01-05,583.1007080078125,600.658447265625,3.0110989434053748,1152.099296360233,2,賣出信號
半導體,regime,2454.TW,2021-11-15,2022-01-07,756.2428588867188,811.5777587890625,7.317080651023064,3285.1441194260988,53,賣出信號
半導體,regime,2303.TW,2021-11-19,2022-01-26,50.72791290283203,44.6499137878418,-11.981567478702464,-5828.6829963101845,68,停損
半導體,regime,2344.TW,2021-11-12,2022-02-18,26.886577606201172,32.93262481689453,22.4872324743142,11254.30494052019,98,停利
半導體,regime,2344.TW,2022-02-18,2022-02-24,32.93262481689453,30.04701042175293,-8.762175536221676,-5176.88714407495,6,停損
半導體,regime,2330.TW,2022-03-04,2022-03-15,549.8334350585938,515.64208984375,-6.218491462091625,-3750.932799907001,11,賣出信號
半導體,regime,6415.TW,2022-03-16,2022-03-23,694.5406494140625,838.2802734375,20.695638785822112,11044.277833715125,7,停利
半導體,regime,3034.TW,2021-11-08,2022-04-06,310.26702880859375,282.0609436035156,-9.090906408388848,-5235.994363360369,149,停損
半導體,regime,2344.TW,2022-05-18,2022-06-13,26.749168395996094,24.50480079650879,-8.39042009180087,-4939.91991579561,26,停損
半導體,regime,2330.TW,2022-05-31,2022-06-14,520.05322265625,476.4059753417969,-8.392842388615197,-4693.838020714538,14,停損
半導體,regime,2454.TW,2022-05-31,2022-06-17,667.70703125,613.1100463867188,-8.17678746935934,-4351.539887675899,17,停損
半導體,regime,2303.TW,2022-04-28,2022-06-24,37.79268264770508,34.516380310058594,-8.669144681226895,-5361.750345392124,57,停損
半導體,regime,3034.TW,2022-06-23,2022-07-01,221.5707550048828,196.08331298828125,-11.503071339915726,-6568.402839166738,8,停損
半導體,regime,3034.TW,2022-07-04,2022-07-06,201.18081665039062,188.94683837890625,-6.0810858983361324,-3776.649914728274,2,賣出信號
半導體,regime,6415.TW,2022-07-21,2022-07-26,605.2545776367188,545.9920654296875,-9.79133647174187,-5578.773706112006,5,停損
半導體,regime,3711.TW,2022-07-04,2022-08-11,64.14450073242188,77.5801773071289,20.94595237517526,10952.1684383787,38,停利
半導體,regime,2379.TW,2022-09-14,2022-09-26,279.00787353515625,255.57643127441406,-8.398129401817659,-5095.993979338113,12,停損
半導體,regime,2303.TW,2022-09-30,2022-11-11,29.66251564025879,36.507713317871094,23.076929012459797,12061.356152461929,42,停利
半導體,regime,2454.TW,2022-10-31,2022-11-15,478.5943298339844,585.6697387695312,22.372895427467636,11098.751538365083,15,停利
半導體,regime,2303.TW,2022-11-15,2022-12-08,38.66498565673828,35.26313018798828,-8.798284574449717,-5141.9954066546925,23,停損
半導體,regime,6415.TW,2022-12-01,2022-12-20,480.9005126953125,440.5826110839844,-8.383834191682931,-4668.844217728336,19,停損
半導體,regime,2330.TW,2023-01-30,2023-01-31,512.86181640625,493.0272521972656,-3.8674285303534757,-2297.783759261074,1,賣出信號
半導體,regime,2344.TW,2022-09-29,2023-02-02,18.404373168945312,22.446678161621094,21.96382868119942,12068.677948177894,126,停利
半導體,regime,6415.TW,2023-01-31,2023-03-13,583.8812866210938,495.4732666015625,-15.141437488285714,-7708.753506510227,41,停損
半導體,regime,2303.TW,2023-01-09,2023-03-22,36.92257308959961,44.39005661010742,20.2247105107939,10662.160173368124,72,停利
半導體,regime,3711.TW,2023-02-03,2023-04-13,91.88267517089844,89.71562194824219,-2.3585003577939037,-1398.8289353173095,69,賣出信號
半導體,regime,2454.TW,2023-01-30,2023-04-19,599.459716796875,547.5443725585938,-8.660355780982794,-4531.014330729995,79,停損
半導體,regime,2379.TW,2023-02-08,2023-04-21,316.32464599609375,318.49420166015625,0.685863618761243,44.32005186508468,72,賣出信號
半導體,regime,2344.TW,2023-02-02,2023-05-04,22.446678161621094,23.825817108154297,6.144067004494361,2777.3124996813785,91,賣出信號
半導體,regime,3034.TW,2023-02-08,2023-05-10,319.89288330078125,347.7809753417969,8.717947005652412,3483.438840954099,91,賣出信號
半導體,regime,6415.TW,2023-05-22,2023-06-16,368.5249938964844,347.4524230957031,-5.718084566796129,-3643.10897254882,25,賣出信號
半導體,regime,2454.TW,2023-05-30,2023-06-20,618.9279174804688,620.61328125,0.27230372421913485,-164.37697951526934,21,賣出信號
半導體,regime,3711.TW,2023-05-26,2023-06-30,95.7833480834961,103.19046020507812,7.733193994351832,3921.6539769294905,35,賣出信號
半導體,regime,2344.TW,2023-06-02,2023-08-14,27.10721778869629,24.206270217895508,-10.701753287312563,-5590.904526224891,73,停損
半導體,regime,6415.TW,2023-08-23,2023-08-24,254.341064453125,252.87088012695312,-0.5780365547077553,-670.2687099794712,1,賣出信號
半導體,regime,6415.TW,2023-08-28,2023-09-12,257.28143310546875,320.4991149902344,24.57141237193376,12437.524528444701,15,停利
半導體,regime,6415.TW,2023-09-12,2023-10-04,320.4991149902344,289.6253662109375,-9.633021538994765,-5363.487999452715,22,停損
半導體,regime,2344.TW,2023-10-06,2023-10-26,27.070648193359375,24.52161407470703,-9.416228604668728,-4736.118275822329,20,停損
半導體,regime,6415.TW,2023-11-13,2023-11-14,346.9623718261719,347.4524230957031,0.14124046563088566,-210.2679788920068,1,賣出信號
半導體,regime,2454.TW,2023-09-15,2023-11-21,685.2791748046875,831.6756591796875,21.36304294037896,9837.898868309283,67,停利
半導體,regime,2379.TW,2023-11-27,2023-11-30,414.7955627441406,415.2574462890625,0.11135209399691186,-226.69121434558474,3,賣出信號
半導體,regime,3034.TW,2023-09-14,2023-12-21,403.3648681640625,443.7462158203125,10.01112165272299,4697.580806157057,98,賣出信號
半導體,regime,2303.TW,2023-08-28,2023-12-28,39.86436080932617,46.71604919433594,17.187503438928413,9062.12943607915,122,賣出信號
半導體,regime,6415.TW,2023-11-15,2023-12-28,374.40570068359375,480.2586669921875,28.272263513970625,13038.599245803292,43,停利
半導體,regime,2454.TW,2023-12-15,2024-01-02,894.5452880859375,881.0732421875,-1.5060216713302126,-946.4284444074146,18,賣出信號
半導體,regime,3711.TW,2023-08-25,2024-01-03,108.79356384277344,118.1320571899414,8.583681807375845,4595.268501373037,131,賣出信號
半導體,regime,6415.TW,2023-12-28,2024-01-03,480.2586669921875,431.2526550292969,-10.204086949603727,-5350.158941347698,6,停損
