sector,mode,symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl,hold_days,exit_reason,entry_score,entry_indicators
半導體,B_技術+盤勢,2379.TW,2020-07-06,2020-08-06,264.0097351074219,322.4690246582031,22.142853757644573,9631.996894624885,31,停利,59.15,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,3711.TW,2020-07-30,2020-08-11,56.77226638793945,52.937320709228516,-6.754963158429805,-3323.8227277469923,12,賣出信號,55.86774785844019,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2379.TW,2020-08-06,2020-08-12,322.4690246582031,296.06805419921875,-8.187133783459586,-3877.910280945114,6,停損,68.9,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2454.TW,2020-07-21,2020-08-18,451.8067626953125,437.6213073730469,-3.13971735120573,-1674.2706096030015,28,賣出信號,56.42,"EMA Cross,Volume,ADX,Stoch RSI"
半導體,B_技術+盤勢,6415.TW,2020-08-05,2020-08-18,445.7496032714844,374.6706237792969,-15.945943410946068,-7599.634068282881,13,停損,70.14999999999999,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,3034.TW,2020-08-05,2020-08-18,199.91873168945312,174.88771057128906,-12.520598198395131,-5723.487955237579,13,停損,59.15,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2303.TW,2020-08-03,2020-08-20,17.961612701416016,16.452234268188477,-8.403356971996987,-4116.383561151553,17,停損,63.7,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2330.TW,2020-07-14,2020-08-26,326.71978759765625,397.27679443359375,21.59557195930414,8994.453035056955,43,停利,59.15,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2303.TW,2020-09-10,2020-09-30,17.62200164794922,21.546390533447266,22.26982475600184,11808.838121273511,20,停利,53.66582468456951,"MACD,EMA Cross,ADX"
半導體,B_技術+盤勢,2379.TW,2020-08-13,2020-10-22,296.06805419921875,283.1103515625,-4.376596006538331,-2288.6024361883174,70,賣出信號,51.35,"EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,3034.TW,2020-10-27,2020-10-30,183.12161254882812,175.87579345703125,-3.956834472427348,-2025.0770534500261,3,賣出信號,54.16107029922592,"EMA Cross,ADX,Stoch RSI,Pullback Support"
半導體,B_技術+盤勢,2454.TW,2020-10-23,2020-11-02,480.8869323730469,463.1551818847656,-3.687301378887519,-2005.3804460475221,10,賣出信號,64.35000000000001,"EMA Cross,Volume,ADX,Pullback Support"
半導體,B_技術+盤勢,6415.TW,2020-10-21,2020-11-06,456.5921630859375,563.81298828125,23.482843960931483,11373.469121403163,16,停利,51.40929909643828,"EMA Cross,Volume,ADX,Pullback Support"
半導體,B_技術+盤勢,3711.TW,2020-10-05,2020-11-18,46.83164978027344,56.50761413574219,20.661164833754135,10497.385590755337,44,停利,55.08,"MACD,Volume,Volume Reversal"
半導體,B_技術+盤勢,2303.TW,2020-09-30,2020-11-23,21.546390533447266,27.432966232299805,27.32047249266455,14716.727237876803,54,停利,53.95,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2344.TW,2020-10-22,2020-12-01,14.437541961669922,18.172176361083984,25.86752238940052,12484.046126838359,40,停利,59.15,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2303.TW,2020-11-30,2020-12-07,30.564929962158203,37.7344856262207,23.456803836746808,11749.636040013233,7,停利,68.9,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2344.TW,2020-12-01,2020-12-07,18.172176361083984,23.728578567504883,30.57642681874927,15563.940360315479,6,停利,62.675,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2303.TW,2020-12-07,2020-12-15,37.7344856262207,33.20634460449219,-12.000007278705368,-6421.924676054718,8,停損,68.9,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2344.TW,2020-12-07,2020-12-15,23.728578567504883,21.54245376586914,-9.213045760058852,-4749.717150655939,8,停損,68.9,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,3711.TW,2020-11-18,2021-01-06,56.50761413574219,68.50580596923828,21.232876342423737,10407.84536889838,49,停利,66.125,"EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,3034.TW,2020-12-02,2021-01-06,202.88294982910156,252.94493103027344,24.675302307730433,11280.738202437351,35,停利,52.324999999999996,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,6415.TW,2020-11-16,2021-01-13,551.7657470703125,687.9000854492188,24.672488116874426,11985.46789369548,58,停利,55.9,"MACD,EMA Cross,ADX"
半導體,B_技術+盤勢,2330.TW,2020-12-02,2021-01-13,450.9710388183594,549.4514770507812,21.837419646827367,10476.262246801023,42,停利,62.675,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,6415.TW,2021-01-13,2021-01-20,687.9000854492188,626.4589233398438,-8.931698572075643,-4379.020226427412,7,停損,59.15,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2379.TW,2020-12-09,2021-01-21,317.6739196777344,386.41265869140625,21.63814362960742,9690.97325873468,43,停利,53.95,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2303.TW,2020-12-17,2021-01-22,34.753456115722656,42.63996505737305,22.692732818830326,10645.082373474688,36,停利,52.324999999999996,"EMA Cross,Volume,ADX,Stoch RSI"
半導體,B_技術+盤勢,2379.TW,2021-01-21,2021-01-29,386.41265869140625,350.68402099609375,-9.246238934383829,-4776.397640660383,8,停損,53.95,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,3034.TW,2021-01-06,2021-02-05,252.94493103027344,315.5224914550781,24.739598524437383,11931.959859028488,30,停利,68.9,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,3711.TW,2021-01-06,2021-02-17,68.50580596923828,89.79292297363281,31.07344947368878,14306.9824224841,42,停利,52.324999999999996,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2344.TW,2020-12-24,2021-02-18,23.500856399536133,28.692907333374023,22.0930286350772,9837.733029062358,56,停利,56.349999999999994,"EMA Cross,Volume,ADX,Stoch RSI"
半導體,B_技術+盤勢,3711.TW,2021-02-17,2021-02-24,89.79292297363281,82.0521469116211,-8.620697272862756,-4403.507066746533,7,停損,54.05,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,6415.TW,2021-01-27,2021-03-04,634.8920288085938,614.4116821289062,-3.225799939262095,-1871.6238192745004,36,賣出信號,53.705,"EMA Cross,Volume,ADX,Pullback Support"
半導體,B_技術+盤勢,2303.TW,2021-02-03,2021-03-04,39.243858337402344,37.01752471923828,-5.6730752593768266,-2903.2381974217424,29,賣出信號,51.98,"EMA Cross,Volume,ADX,Stoch RSI,Pullback Support"
半導體,B_技術+盤勢,2344.TW,2021-02-18,2021-03-04,28.692907333374023,25.73253059387207,-10.317451295911741,-5256.982161253036,14,停損,70.85000000000001,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2454.TW,2021-01-08,2021-03-08,594.37060546875,614.9395141601562,3.460620108422857,1280.794406917972,59,賣出信號,53.95,"MACD,EMA Cross,Volume,ADX"
半導體,B_技術+盤勢,2379.TW,2021-02-02,2021-03-09,374.3736572265625,334.76153564453125,-10.580905151149267,-5452.12123662966,35,停損,50.830000000000005,"EMA Cross,ADX,Stoch RSI"
