sector,mode,symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl,hold_days,exit_reason
半導體,B_技術+盤勢,6415.TW,2019-10-28,2020-01-10,206.3231201171875,259.10345458984375,25.581396036798033,11072.732663575036,74,停利
半導體,B_技術+盤勢,2454.TW,2019-10-31,2020-01-13,284.1888427734375,293.9403991699219,3.4313649689120838,1136.8373654047682,74,賣出信號
半導體,B_技術+盤勢,2330.TW,2019-12-27,2020-01-30,298.4908752441406,279.5040588378906,-6.360936960207031,-2812.3720861787806,34,賣出信號
半導體,B_技術+盤勢,2344.TW,2019-12-05,2020-01-31,16.90913963317871,15.32673454284668,-9.358282707814853,-4238.189243188783,57,停損
半導體,B_技術+盤勢,6415.TW,2020-01-10,2020-02-10,259.10345458984375,259.10345458984375,0.0,-253.20633430880116,31,賣出信號
半導體,B_技術+盤勢,2379.TW,2020-01-17,2020-02-24,197.63014221191406,180.28094482421875,-8.778619087918372,-4026.7454579312325,38,停損
半導體,B_技術+盤勢,2303.TW,2019-10-29,2020-03-11,10.419327735900879,10.634899139404297,2.0689569324193946,623.4093381506245,134,賣出信號
半導體,B_技術+盤勢,6415.TW,2020-04-17,2020-05-15,287.89276123046875,352.6685791015625,22.499981449425302,10061.336205608844,28,停利
半導體,B_技術+盤勢,2303.TW,2020-04-07,2020-06-08,10.167825698852539,12.251691818237305,20.494707335708306,10129.597193343703,62,停利
半導體,B_技術+盤勢,2454.TW,2020-04-30,2020-06-10,289.06463623046875,348.2706604003906,20.48193267152798,8677.337503654322,41,停利
半導體,B_技術+盤勢,6415.TW,2020-05-15,2020-06-18,352.6685791015625,424.6418151855469,20.408179335777266,8356.055160802804,34,停利
半導體,B_技術+盤勢,2379.TW,2020-05-13,2020-06-24,189.70985412597656,231.1970977783203,21.868786860588806,8817.47000428175,42,停利
半導體,B_技術+盤勢,3034.TW,2020-05-26,2020-07-03,131.972900390625,165.28335571289062,25.240375276795774,9872.833281861582,38,停利
半導體,B_技術+盤勢,2330.TW,2020-04-07,2020-07-06,252.34637451171875,303.7999267578125,20.39005012283396,9571.807983389539,90,停利
半導體,B_技術+盤勢,2454.TW,2020-06-19,2020-07-08,380.3115234375,468.829345703125,23.275082875623653,9493.123215698666,19,停利
半導體,B_技術+盤勢,6415.TW,2020-06-18,2020-07-15,424.6418151855469,419.84356689453125,-1.1299519075668596,-756.5570417666822,27,賣出信號
半導體,B_技術+盤勢,2454.TW,2020-07-08,2020-07-16,468.829345703125,424.85443115234375,-9.37972738989494,-4582.109783987013,8,停損
半導體,B_技術+盤勢,2379.TW,2020-06-24,2020-07-22,231.1970977783203,277.9645690917969,20.22839895607981,8300.476766576685,28,停利
半導體,B_技術+盤勢,2303.TW,2020-07-13,2020-07-24,12.251691818237305,14.905120849609375,21.657654067190116,9201.178173032036,11,停利
半導體,B_技術+盤勢,2303.TW,2020-07-24,2020-08-03,14.905120849609375,17.961612701416016,20.506320496467115,8850.510514069822,10,停利
半導體,B_技術+盤勢,3034.TW,2020-07-03,2020-08-05,165.28335571289062,199.9187469482422,20.95515975336064,8685.13645575272,33,停利
半導體,B_技術+盤勢,3711.TW,2020-06-10,2020-08-11,51.13264465332031,52.93732452392578,3.52940842947047,1285.8736493236647,62,賣出信號
半導體,B_技術+盤勢,2454.TW,2020-07-21,2020-08-18,451.8067626953125,437.621337890625,-3.1397105966414687,-1626.8752831614547,28,賣出信號
半導體,B_技術+盤勢,6415.TW,2020-08-05,2020-08-18,445.7496337890625,374.670654296875,-15.94594231923104,-7472.216661462342,13,停損
半導體,B_技術+盤勢,3034.TW,2020-08-05,2020-08-18,199.9187469482422,174.88772583007812,-12.520597242761056,-5627.5264549046915,13,停損
半導體,B_技術+盤勢,2303.TW,2020-08-03,2020-08-20,17.961612701416016,16.452234268188477,-8.403356971996987,-4034.5746983478966,17,停損
半導體,B_技術+盤勢,2330.TW,2020-07-14,2020-08-26,326.7198486328125,397.27685546875,21.595567924994274,8714.708565021392,43,停利
半導體,B_技術+盤勢,2303.TW,2020-09-10,2020-09-30,17.62200355529785,21.546390533447266,22.26981152191172,11590.505287936227,20,停利
半導體,B_技術+盤勢,2379.TW,2020-07-23,2020-10-22,281.3589172363281,283.1103515625,0.6224911381432257,15.348978396163147,91,賣出信號
半導體,B_技術+盤勢,2303.TW,2020-09-30,2020-10-30,21.546390533447266,23.16897201538086,7.530641753730398,3751.550934009676,30,賣出信號
半導體,B_技術+盤勢,2344.TW,2020-10-22,2020-12-01,14.437541961669922,18.172176361083984,25.86752238940052,13532.644586935967,40,停利
半導體,B_技術+盤勢,2303.TW,2020-11-30,2020-12-07,30.564926147460938,37.7344856262207,23.456819244941475,11090.62350915723,7,停利
半導體,B_技術+盤勢,2344.TW,2020-12-01,2020-12-07,18.172176361083984,23.728580474853516,30.576437314732775,14820.969040995951,6,停利
半導體,B_技術+盤勢,2303.TW,2020-12-07,2020-12-15,37.7344856262207,33.20634078979492,-12.000017388018382,-6112.04671131917,8,停損
半導體,B_技術+盤勢,2344.TW,2020-12-07,2020-12-15,23.728580474853516,21.54245376586914,-9.213053057687686,-4520.528168144498,8,停損
半導體,B_技術+盤勢,6415.TW,2020-11-05,2020-12-16,513.21435546875,618.02587890625,20.422562681780253,10659.920062332109,41,停利
半導體,B_技術+盤勢,6415.TW,2020-12-16,2020-12-23,618.02587890625,567.4271850585938,-8.187148074964625,-4304.407601495768,7,停損
半導體,B_技術+盤勢,3711.TW,2020-11-05,2021-01-04,52.79204177856445,64.94505310058594,23.020536642619614,11452.484755033875,60,停利
半導體,B_技術+盤勢,3034.TW,2020-12-02,2021-01-06,202.88294982910156,252.94493103027344,24.675302307730433,10742.229105927421,35,停利
半導體,B_技術+盤勢,2330.TW,2020-12-02,2021-01-13,450.9710998535156,549.4512939453125,21.8373625546704,9976.129651359326,42,停利
半導體,B_技術+盤勢,2344.TW,2020-12-28,2021-01-18,26.7345027923584,23.45531463623047,-12.265753291156138,-5963.278217150932,21,停損
半導體,B_技術+盤勢,3711.TW,2021-01-04,2021-01-19,64.94505310058594,81.66510772705078,25.74492409848225,11873.758211827299,15,停利
半導體,B_技術+盤勢,2379.TW,2020-12-09,2021-01-21,317.67388916015625,386.41265869140625,21.63815531486604,9223.351181034814,43,停利
半導體,B_技術+盤勢,2303.TW,2020-12-24,2021-01-22,35.13080596923828,42.63996505737305,21.374855716973983,10152.540870818411,29,停利
半導體,B_技術+盤勢,3711.TW,2021-01-19,2021-01-28,81.66510772705078,73.15027618408203,-10.426523370823025,-5115.635038618391,9,停損
半導體,B_技術+盤勢,2379.TW,2021-01-21,2021-01-29,386.41265869140625,350.6840515136719,-9.246231036718616,-4599.630250815513,8,停損
半導體,B_技術+盤勢,3034.TW,2021-01-06,2021-02-05,252.94493103027344,315.5224609375,24.739586459527445,11496.945000083091,30,停利
