symbol,name,sector,variant,total_return_pct,annualized_pct,max_drawdown_pct,win_rate,total_trades,win_trades,avg_hold_days,bnh_return_pct,final_capital
2891.TW,中信金,金融,A+C,12.14,2.53,15.76,57.1,14,8,23.8,245.37,1121358
2891.TW,中信金,金融,B+C,3.78,0.81,16.42,50.0,12,6,23.1,245.37,1037796
1101.TW,台泥,傳產,baseline,-32.05,-8.08,36.83,18.8,16,3,27.2,-37.9,679489
1101.TW,台泥,傳產,A_volume,-25.78,-6.29,32.81,25.0,12,3,24.1,-37.9,742227
1101.TW,台泥,傳產,B_close_confirm,-3.93,-0.87,18.84,42.9,7,3,22.7,-37.9,960731
1101.TW,台泥,傳產,C_kbar,-19.87,-4.71,25.29,23.1,13,3,27.0,-37.9,801331
1101.TW,台泥,傳產,A+C,-12.64,-2.9,20.93,37.5,8,3,28.5,-37.9,873551
1101.TW,台泥,傳產,B+C,3.66,0.79,17.22,60.0,5,3,29.6,-37.9,1036563
1301.TW,台塑,傳產,baseline,-21.04,-5.02,40.07,52.6,19,10,27.5,-47.03,789575
1301.TW,台塑,傳產,A_volume,-39.68,-10.44,43.27,26.7,15,4,24.1,-47.03,603204
1301.TW,台塑,傳產,B_close_confirm,-46.58,-12.78,49.76,25.0,12,3,19.0,-47.03,534246
1301.TW,台塑,傳產,C_kbar,-37.33,-9.69,40.82,28.6,14,4,26.7,-47.03,626686
1301.TW,台塑,傳產,A+C,-37.07,-9.61,40.82,23.1,13,3,26.8,-47.03,629297
1301.TW,台塑,傳產,B+C,-41.98,-11.19,45.43,20.0,10,2,19.2,-47.03,580214
1326.TW,台化,傳產,baseline,-55.26,-16.08,57.87,28.0,25,7,18.2,-26.02,447442
1326.TW,台化,傳產,A_volume,-47.54,-13.12,51.53,26.3,19,5,17.3,-26.02,524609
1326.TW,台化,傳產,B_close_confirm,-45.02,-12.23,48.21,25.0,12,3,12.6,-26.02,549815
1326.TW,台化,傳產,C_kbar,-59.68,-17.97,59.68,10.5,19,2,18.1,-26.02,403184
1326.TW,台化,傳產,A+C,-51.85,-14.73,52.3,13.3,15,2,17.7,-26.02,481459
1326.TW,台化,傳產,B+C,-46.28,-12.67,46.76,10.0,10,1,13.7,-26.02,537202
7769.TW,豐祥-KY,精密,baseline,15.2,20.27,36.22,55.6,9,5,11.9,320.52,1151962
7769.TW,豐祥-KY,精密,A_volume,17.5,23.41,27.52,50.0,8,4,8.8,320.52,1175006
7769.TW,豐祥-KY,精密,B_close_confirm,9.17,12.13,29.57,40.0,5,2,15.0,320.52,1091720
7769.TW,豐祥-KY,精密,C_kbar,37.59,51.63,23.82,71.4,7,5,13.6,320.52,1375924
7769.TW,豐祥-KY,精密,A+C,11.06,14.66,29.57,60.0,5,3,15.8,320.52,1110598
7769.TW,豐祥-KY,精密,B+C,10.59,14.04,29.57,50.0,4,2,18.0,320.52,1105944
2049.TW,上銀,精密,baseline,-24.61,-5.98,52.24,38.5,26,10,19.0,17.52,753856
2049.TW,上銀,精密,A_volume,-18.55,-4.38,50.57,39.1,23,9,16.0,17.52,814459
2049.TW,上銀,精密,B_close_confirm,-25.95,-6.34,38.76,30.0,20,6,10.4,17.52,740461
2049.TW,上銀,精密,C_kbar,-25.52,-6.22,51.36,26.3,19,5,18.1,17.52,744769
2049.TW,上銀,精密,A+C,-14.98,-3.48,48.62,29.4,17,5,18.5,17.52,850230
2049.TW,上銀,精密,B+C,-17.84,-4.19,30.05,26.7,15,4,11.1,17.52,821621
1590.TW,亞德客-KY,精密,baseline,-49.65,-13.89,56.12,27.8,18,5,21.1,65.88,503534
1590.TW,亞德客-KY,精密,A_volume,-37.09,-9.61,49.31,33.3,15,5,22.7,65.88,629127
1590.TW,亞德客-KY,精密,B_close_confirm,-28.18,-6.96,42.07,36.4,11,4,22.5,65.88,718229
1590.TW,亞德客-KY,精密,C_kbar,-40.22,-10.61,46.38,35.7,14,5,17.9,65.88,597771
1590.TW,亞德客-KY,精密,A+C,-35.1,-8.99,41.78,38.5,13,5,18.5,65.88,649042
