trigger,regime,n,avg_5d,win_5d,p25_5d,p75_5d,avg_10d,win_10d,p25_10d,p75_10d,avg_20d,win_20d,p25_20d,p75_20d,correct_sell_pct,rebuy_pct,full_miss_pct,avg_rebuy_cost_pct,avg_rebuy_days
S7,空頭,99,5.95,31.3,-1.66,14.37,6.72,28.3,-0.72,13.56,11.81,27.3,-0.66,18.9,,,,,
S7,高檔轉折,81,0.96,45.7,-3.4,3.9,1.35,43.2,-3.75,4.43,2.7,48.1,-6.29,7.51,,,,,
S8,ALL,12388,0.46,45.4,-2.19,2.84,0.95,44.5,-2.85,4.4,2.05,43.7,-4.18,6.62,68.9,27.0,4.1,8.48,9.0
S8,強勢多頭,22,1.63,45.5,-1.8,3.82,1.97,45.5,-3.8,7.28,4.86,40.9,-9.63,12.17,,,,,
S8,多頭,874,0.55,43.9,-2.26,3.28,1.24,42.2,-2.54,5.07,2.28,43.9,-5.15,7.61,,,,,
S8,盤整,6785,0.34,46.0,-2.19,2.67,0.79,44.7,-2.76,4.04,1.77,43.7,-3.95,6.36,,,,,
S8,空頭,3623,0.49,45.4,-2.29,2.92,0.96,46.0,-3.17,4.59,2.09,45.0,-4.65,6.43,,,,,
S8,高檔轉折,663,1.22,40.9,-1.99,3.43,2.07,38.2,-2.44,5.26,4.59,33.0,-1.97,8.57,,,,,
S8,底部轉強,421,0.63,45.8,-1.89,2.6,1.09,42.3,-2.2,4.73,1.71,48.5,-4.23,6.84,,,,,
S9,ALL,3874,0.37,45.5,-2.18,2.71,0.73,46.2,-3.28,4.26,1.47,46.3,-4.85,6.16,70.9,26.5,2.6,7.58,8.2
S9,多頭,322,1.11,42.5,-2.17,3.83,1.53,42.2,-2.71,5.82,2.57,43.5,-4.95,7.98,,,,,
S9,盤整,2153,0.41,44.6,-2.08,2.62,0.67,46.3,-3.1,4.13,1.55,45.6,-4.3,6.24,,,,,
S9,空頭,1089,0.05,48.5,-2.43,2.54,0.55,48.0,-3.57,4.06,0.77,51.0,-5.76,5.54,,,,,
S9,高檔轉折,284,0.55,43.3,-1.85,2.75,1.06,42.6,-3.8,5.0,2.42,37.0,-4.1,6.14,,,,,
S9,底部轉強,26,-0.6,53.8,-2.38,0.65,0.02,53.8,-3.09,2.61,-0.08,53.8,-4.59,3.18,,,,,
